dist;density_fun
BE;dBE
BCCG;dBCCG
BCCGo;dBCCGo
BCPE;dBCPE
BCPEo;dBCPEo
BCT;dBCT
BCTo;dBCTo
EXP;dEXP
exGAUS;dexGAUS
EGB2;dEGB2
GA;dGA
GB1;dGB1
GB2;dGB2
GG;dGG
GIG;dGIG
GT;dGT
GU;dGU
IGAMMA;dIGAMMA
IG;dIG
JSU;dJSU
JSUo;dJSUo
LO;dLO
LOGITNO;dLOGITNO
LOGNO;dLOGNO
LOGNO2;dLOGNO2
LNO;dLNO
NET;dNET
NO2;dNO2
NO;dNO
NOF;dNOF
PARETO2;dPARETO2
PARETO2o;dPARETO2o
GP;dGP
PE;dPE
RGE;dRGE
RG;dRG
SHASH;dSHASH
SHASHo;dSHASHo
SHASHo2;dSHASHo2
SN1;dSN1
SN2;dSN2
SEP1;dSEP1
SEP2;dSEP2
SEP3;dSEP3
SEP4;dSEP4
ST1;dST1
ST2;dST2
ST3;dST3
SST;dSST
ST4;dST4
ST5;dST5
TF;dTF
TF2;dTF2
WEI;dWEI
WEI2;dWEI2
WEI3;dWEI3
